index,n_nerghbors,weight,p,leaf_size,cross_acc,test_acc
213,7,uniform,1,36,0.46260825862603605,0.509090909090909
214,7,uniform,2,36,0.4604547382759109,0.5103896103896104
215,7,distance,1,36,0.5265940284794622,0.5688311688311688
216,7,distance,2,36,0.5213922447792058,0.5597402597402598
217,7,uniform,1,38,0.46260825862603605,0.509090909090909
218,7,uniform,2,38,0.4604547382759109,0.5103896103896104
219,7,distance,1,38,0.5265940284794622,0.5688311688311688
220,7,distance,2,38,0.5213922447792058,0.5597402597402598
221,7,uniform,1,40,0.46260825862603605,0.509090909090909
222,7,uniform,2,40,0.4604547382759109,0.5103896103896104
223,7,distance,1,40,0.5265940284794622,0.5688311688311688
224,7,distance,2,40,0.5213922447792058,0.5597402597402598
225,7,uniform,1,42,0.46260825862603605,0.509090909090909
226,7,uniform,2,42,0.4604547382759109,0.5103896103896104
227,7,distance,1,42,0.5265940284794622,0.5688311688311688
228,7,distance,2,42,0.5213922447792058,0.5597402597402598
229,7,uniform,1,44,0.46260825862603605,0.509090909090909
230,7,uniform,2,44,0.4604547382759109,0.5103896103896104
231,7,distance,1,44,0.5265940284794622,0.5688311688311688
232,7,distance,2,44,0.5213922447792058,0.5597402597402598
233,7,uniform,1,46,0.46260825862603605,0.509090909090909
234,7,uniform,2,46,0.4604547382759109,0.5103896103896104
235,7,distance,1,46,0.5265940284794622,0.5688311688311688
236,7,distance,2,46,0.5213922447792058,0.5597402597402598
237,7,uniform,1,48,0.46260825862603605,0.509090909090909
238,7,uniform,2,48,0.4604547382759109,0.5103896103896104
239,7,distance,1,48,0.5265940284794622,0.5688311688311688
240,7,distance,2,48,0.5213922447792058,0.5597402597402598
241,9,uniform,1,10,0.4494496111282723,0.5077922077922078
242,9,uniform,2,10,0.4472996727545753,0.5038961038961038
243,9,distance,1,10,0.5286266751444606,0.5831168831168831
244,9,distance,2,10,0.5208331849051291,0.5727272727272728
245,9,uniform,1,12,0.4494496111282723,0.5077922077922078
246,9,uniform,2,12,0.4472996727545753,0.5038961038961038
247,9,distance,1,12,0.5286266751444606,0.5831168831168831
248,9,distance,2,12,0.5208331849051291,0.5727272727272728
249,9,uniform,1,14,0.4494496111282723,0.5077922077922078
250,9,uniform,2,14,0.4472996727545753,0.5038961038961038
251,9,distance,1,14,0.5286266751444606,0.5831168831168831
252,9,distance,2,14,0.5208331849051291,0.5727272727272728
253,9,uniform,1,16,0.44600050961330684,0.5103896103896104
254,9,uniform,2,16,0.4438071992217155,0.5051948051948052
255,9,distance,1,16,0.5269070612791973,0.5857142857142857
256,9,distance,2,16,0.5182459239063977,0.5753246753246753
257,9,uniform,1,18,0.44600050961330684,0.5103896103896104
258,9,uniform,2,18,0.4438071992217155,0.5051948051948052
259,9,distance,1,18,0.5269070612791973,0.5857142857142857
260,9,distance,2,18,0.5182459239063977,0.5753246753246753
261,9,uniform,1,20,0.44600050961330684,0.5103896103896104
262,9,uniform,2,20,0.4438071992217155,0.5051948051948052
263,9,distance,1,20,0.5269070612791973,0.5857142857142857
264,9,distance,2,20,0.5182459239063977,0.5753246753246753
265,9,uniform,1,22,0.44600050961330684,0.5103896103896104
266,9,uniform,2,22,0.4438071992217155,0.5051948051948052
267,9,distance,1,22,0.5269070612791973,0.5857142857142857
268,9,distance,2,22,0.5182459239063977,0.5753246753246753
269,9,uniform,1,24,0.44600050961330684,0.5103896103896104
270,9,uniform,2,24,0.4438071992217155,0.5051948051948052
271,9,distance,1,24,0.5269070612791973,0.5857142857142857
272,9,distance,2,24,0.5182459239063977,0.5753246753246753
273,9,uniform,1,26,0.44600050961330684,0.5103896103896104
274,9,uniform,2,26,0.4438071992217155,0.5051948051948052
275,9,distance,1,26,0.5269070612791973,0.5857142857142857
276,9,distance,2,26,0.5182459239063977,0.5753246753246753
277,9,uniform,1,28,0.44600050961330684,0.5103896103896104
278,9,uniform,2,28,0.4438071992217155,0.5051948051948052
279,9,distance,1,28,0.5269070612791973,0.5857142857142857
280,9,distance,2,28,0.5182459239063977,0.5753246753246753
281,9,uniform,1,30,0.43940767172672146,0.4922077922077922
282,9,uniform,2,30,0.4372541513765963,0.4896103896103896
283,9,distance,1,30,0.5230210203519976,0.5727272727272728
284,9,distance,2,30,0.5116828683697234,0.5571428571428572
285,9,uniform,1,32,0.43940767172672146,0.4922077922077922
286,9,uniform,2,32,0.4372541513765963,0.4896103896103896
