acc,index,hidden_layer_size,,max_iter,alpha,solver
0.7184684684684685,19.4,[150, 100],300,0.0001,adam
0.6772823779193206,20.0,[150, 100],300,0.001,adam
0.6909871244635193,20.1,[150, 100],300,0.001,adam
0.6645021645021645,20.2,[150, 100],300,0.001,adam
0.6820175438596491,20.3,[150, 100],300,0.001,adam
0.7252252252252253,20.4,[150, 100],300,0.001,adam
0.6751592356687898,21.0,[150, 100],300,0.01,adam
0.6845493562231759,21.1,[150, 100],300,0.01,adam
0.6645021645021645,21.2,[150, 100],300,0.01,adam
0.6776315789473685,21.3,[150, 100],300,0.01,adam
0.7252252252252253,21.4,[150, 100],300,0.01,adam
0.6772823779193206,22.0,[150, 100],300,0.1,adam
0.6845493562231759,22.1,[150, 100],300,0.1,adam
0.670995670995671,22.2,[150, 100],300,0.1,adam
0.6776315789473685,22.3,[150, 100],300,0.1,adam
0.722972972972973,22.4,[150, 100],300,0.1,adam
0.6687898089171974,23.0,[150, 100],300,0.2,adam
0.6652360515021459,23.1,[150, 100],300,0.2,adam
0.6601731601731602,23.2,[150, 100],300,0.2,adam
0.668859649122807,23.3,[150, 100],300,0.2,adam
0.7094594594594594,23.4,[150, 100],300,0.2,adam
0.6666666666666666,24.0,[150, 100],300,0.5,adam
0.6738197424892703,24.1,[150, 100],300,0.5,adam
0.6796536796536796,24.2,[150, 100],300,0.5,adam
0.6754385964912281,24.3,[150, 100],300,0.5,adam
0.722972972972973,24.4,[150, 100],300,0.5,adam
0.6794055201698513,25.0,[200, 100],300,0.0001,adam
0.6909871244635193,25.1,[200, 100],300,0.0001,adam
0.6623376623376623,25.2,[200, 100],300,0.0001,adam
0.6798245614035088,25.3,[200, 100],300,0.0001,adam
0.7252252252252253,25.4,[200, 100],300,0.0001,adam
0.6751592356687898,26.0,[200, 100],300,0.001,adam
0.6995708154506438,26.1,[200, 100],300,0.001,adam
0.6753246753246753,26.2,[200, 100],300,0.001,adam
0.6864035087719298,26.3,[200, 100],300,0.001,adam
0.7274774774774775,26.4,[200, 100],300,0.001,adam
0.673036093418259,27.0,[200, 100],300,0.01,adam
0.6909871244635193,27.1,[200, 100],300,0.01,adam
0.6688311688311688,27.2,[200, 100],300,0.01,adam
0.6820175438596491,27.3,[200, 100],300,0.01,adam
0.7274774774774775,27.4,[200, 100],300,0.01,adam
0.6751592356687898,28.0,[200, 100],300,0.1,adam
0.6781115879828327,28.1,[200, 100],300,0.1,adam
0.670995670995671,28.2,[200, 100],300,0.1,adam
0.668859649122807,28.3,[200, 100],300,0.1,adam
0.722972972972973,28.4,[200, 100],300,0.1,adam
0.6645435244161358,29.0,[200, 100],300,0.2,adam
0.6824034334763949,29.1,[200, 100],300,0.2,adam
0.6731601731601732,29.2,[200, 100],300,0.2,adam
0.6798245614035088,29.3,[200, 100],300,0.2,adam
0.7252252252252253,29.4,[200, 100],300,0.2,adam
0.6709129511677282,30.0,[200, 100],300,0.5,adam
0.6695278969957081,30.1,[200, 100],300,0.5,adam
0.6796536796536796,30.2,[200, 100],300,0.5,adam
0.6710526315789473,30.3,[200, 100],300,0.5,adam
0.722972972972973,30.4,[200, 100],300,0.5,adam
0.6836518046709129,31.0,[150, 150],300,0.0001,adam
0.6866952789699571,31.1,[150, 150],300,0.0001,adam
0.6471861471861472,31.2,[150, 150],300,0.0001,adam
0.6754385964912281,31.3,[150, 150],300,0.0001,adam
0.7252252252252253,31.4,[150, 150],300,0.0001,adam
0.673036093418259,32.0,[150, 150],300,0.001,adam
0.6909871244635193,32.1,[150, 150],300,0.001,adam
0.6796536796536796,32.2,[150, 150],300,0.001,adam
0.6732456140350878,32.3,[150, 150],300,0.001,adam
0.7207207207207207,32.4,[150, 150],300,0.001,adam
0.6794055201698513,33.0,[150, 150],300,0.01,adam
0.6824034334763949,33.1,[150, 150],300,0.01,adam
0.6666666666666666,33.2,[150, 150],300,0.01,adam
0.6666666666666666,33.3,[150, 150],300,0.01,adam
0.7207207207207207,33.4,[150, 150],300,0.01,adam
0.6709129511677282,34.0,[150, 150],300,0.1,adam
0.6695278969957081,34.1,[150, 150],300,0.1,adam
0.6645021645021645,34.2,[150, 150],300,0.1,adam
0.6798245614035088,34.3,[150, 150],300,0.1,adam
